ano;semestre;unidade;curso;qtd_ingressos;qtd_egressos;evasao
2023;2;CPAQ;Geografia;12;24.0;-100.0
2023;2;CPAQ;História;7;7.0;0.0
2023;2;CPAQ;Letras - Português e Espanhol;2;5.0;-150.0
2023;2;CPAQ;Letras - Português e Inglês;2;6.0;-200.0
2023;2;CPAQ;Matemática;3;14.0;-366.7
2023;2;CPAR;Matemática - Licenciatura;2;15.0;-650.0
2023;2;CPCS;Administração ;5;7.0;-40.0
2023;2;CPCS;Engenharia Florestal - Bacharelado;7;6.0;14.3
2023;2;CPCX;Enfermagem - Bacharelado;3;26.0;-766.7
2023;2;CPCX;Sistemas de Informação - Bacharelado;3;6.0;-100.0
2023;2;CPNA;Administração - Bacharelado;2;15.0;-650.0
2023;2;CPNA;História - Licenciatura;2;17.0;-750.0
2023;2;CPPP;Matemática - Licenciatura;2;6.0;-200.0
2023;2;CPPP;Sistemas de Informação - Bacharelado;4;12.0;-200.0
2023;2;CPTL;Ciências Biológicas;1;16.0;-1500.0
2023;2;CPTL;Ciências Contábeis ;5;15.0;-200.0
2023;2;CPTL;Engenharia de Produção;6;12.0;-100.0
2023;2;CPTL;Geografia;2;15.0;-650.0
2023;2;CPTL;Sistemas de Informação - Bacharelado;8;9.0;-12.5
2023;2;ESAN;Administração - Bacharelado;20;37.0;-85.0
2023;2;ESAN;Ciências Contábeis - Bacharelado;9;32.0;-255.6
2023;2;ESAN;Curso Superior de Tecnologia em Processos Gerenciais;1;29.0;-2800.0
2023;2;ESAN;Turismo - Bacharelado;7;18.0;-157.1
2023;2;FAALC;Artes Visuais - Licenciatura - Habilitação em Artes Plásticas;2;17.0;-750.0
2023;2;FACFAN;Engenharia de Alimentos;8;2.0;75.0
2023;2;FACFAN;Nutrição;1;22.0;-2100.0
2023;2;FACOM;Ciência da Computação;12;20.0;-66.7
2023;2;FACOM;Engenharia de Computação;12;19.0;-58.3
2023;2;FACOM;Engenharia de Software;11;32.0;-190.9
2023;2;FACOM;Sistemas de Informação ;13;16.0;-23.1
2023;2;FADIR;Direito;70;71.0;-1.4
2023;2;FAED;Educação do Campo;3;8.0;-166.7
2023;2;FAED;Educação Física - Bacharelado;1;20.0;-1900.0
2023;2;FAED;Pedagogia;76;2.0;97.4
2023;2;FAENG;Arquitetura e Urbanismo - Bacharelado;5;17.0;-240.0
2023;2;FAENG;Geografia - Bacharelado;15;5.0;66.7
2023;2;INBIO;Ciências Biológicas;1;27.0;-2600.0
2023;2;INBIO;Ciências Biológicas - Bacharelado;1;19.0;-1800.0
2023;2;INFI;Física - Bacharelado;7;6.0;14.3
2023;2;INMA;Matemática - Bacharelado;7;2.0;71.4
2023;2;INQUI;Engenharia Química ;6;2.0;66.7
2023;2;INQUI;Química - Bacharelado em Química Tecnológica;3;4.0;-33.3
2023;2;INQUI;Química - Licenciatura;13;5.0;61.5
2022;1;CPAN;Administração - Bacharelado;4;3.0;25.0
2022;1;CPAN;Ciências Biológicas;47;3.0;93.6
2022;1;CPAN;Ciências Contábeis;51;6.0;88.2
2022;1;CPAN;Direito - Bacharelado;1;6.0;-500.0
2022;1;CPAN;Educação Física - Licenciatura;1;4.0;-300.0
2022;1;CPAN;Geografia - Licenciatura;1;1.0;0.0
2022;1;CPAN;História - Licenciatura;42;2.0;95.2
2022;1;CPAN;Matemática - Licenciatura;21;2.0;90.5
2022;1;CPAN;Pedagogia - Licenciatura;9;1.0;88.9
2022;1;CPAN;Psicologia ;43;3.0;93.0
2022;1;CPAN;Sistemas de Informação - Bacharelado;38;5.0;86.8
2022;1;CPAQ;Ciências Biológicas - Licenciatura;3;2.0;33.3
2022;1;CPAQ;Geografia - Bacharelado;1;3.0;-200.0
2022;1;CPAQ;História - Licenciatura;1;3.0;-200.0
2022;1;CPAQ;Letras - Licenciatura - Habilitação em Português e Inglês;2;2.0;0.0
2022;1;CPAQ;Pedagogia - Licenciatura;2;5.0;-150.0
2022;1;CPAR;Administração;48;1.0;97.9
2022;1;CPAR;Matemática - Licenciatura;19;2.0;89.5
2022;1;CPCS;Administração - Bacharelado;3;5.0;-66.7
2022;1;CPCS;Agronomia - Bacharelado;55;22.0;60.0
2022;1;CPCS;Engenharia Florestal - Bacharelado;22;7.0;68.2
2022;1;CPCX;Enfermagem - Bacharelado;41;8.0;80.5
2022;1;CPCX;Letras -  Português - Licenciatura;37;1.0;97.3
2022;1;CPCX;Sistemas de Informação - Bacharelado;34;1.0;97.1
2022;1;CPNA;Administração - Bacharelado;57;6.0;89.5
2022;1;CPNA;Ciências Contábeis - Bacharelado;1;3.0;-200.0
2022;1;CPNA;História - Licenciatura;20;2.0;90.0
2022;1;CPNV;Administração - Bacharelado;3;5.0;-66.7
2022;1;CPNV;Ciências Sociais - Licenciatura;17;3.0;82.4
2022;1;CPPP;Matemática - Licenciatura;12;3.0;75.0
2022;1;CPPP;Pedagogia - Licenciatura;11;5.0;54.5
2022;1;CPPP;Sistemas de Informação - Bacharelado;29;2.0;93.1
2022;1;CPTL;Administração - Bacharelado;2;3.0;-50.0
2022;1;CPTL;Ciências Biológicas;27;3.0;88.9
2022;1;CPTL;Direito - Bacharelado;6;27.0;-350.0
2022;1;CPTL;Enfermagem - Bacharelado;2;4.0;-100.0
2022;1;CPTL;Engenharia de Produção;46;10.0;78.3
2022;1;CPTL;Geografia - Licenciatura;2;2.0;0.0
2022;1;CPTL;Letras - Licenciatura - Habilitação em Português/Inglês;1;4.0;-300.0
2022;1;CPTL;Letras - Português e Espanhol - Licenciatura;2;2.0;0.0
2022;1;CPTL;Letras  Português e Literatura - Licenciatura;4;1.0;75.0
2022;1;CPTL;Matemática - Licenciatura;4;2.0;50.0
2022;1;CPTL;Medicina - Bacharelado;3;56.0;-1766.7
2022;1;CPTL;Pedagogia - Licenciatura;1;2.0;-100.0
2022;1;CPTL;Sistemas de Informação - Bacharelado;52;1.0;98.1
2022;1;ESAN;Administração - Bacharelado;128;27.0;78.9
2022;1;ESAN;Ciências Contábeis - Bacharelado;63;4.0;93.7
2022;1;ESAN;Ciências Econômicas - Bacharelado;65;8.0;87.7
2022;1;ESAN;Curso Superior de Tecnologia em Processos Gerenciais;5;8.0;-60.0
2022;1;ESAN;Turismo - Bacharelado;52;5.0;90.4
2022;1;FAALC;Artes Visuais - Bacharelado -  Habilitação em Artes Plásticas;32;5.0;84.4
2022;1;FAALC;Artes Visuais - Licenciatura - Habilitação em Artes Plásticas;31;2.0;93.5
2022;1;FAALC;Música - Licenciatura;27;2.0;92.6
2022;1;FACFAN;Farmácia ;6;8.0;-33.3
2022;1;FACFAN;Nutrição;52;12.0;76.9
2022;1;FACH;Ciências Sociais - Bacharelado;51;3.0;94.1
2022;1;FACH;Filosofia - Licenciatura;57;1.0;98.2
2022;1;FACH;História - Licenciatura;61;7.0;88.5
2022;1;FACH;Psicologia - Bacharelado;52;36.0;30.8
2022;1;FACOM;Ciência da Computação - Bacharelado;5;5.0;0.0
2022;1;FACOM;Engenharia de Computação - Bacharelado;6;7.0;-16.7
